iter	Accuracy	Logloss
124	0.8956228956	0.3050427095
125	0.8956228956	0.3044863392
126	0.8956228956	0.3041145036
127	0.8967452301	0.3032245431
128	0.8967452301	0.3021108613
129	0.8956228956	0.3014224362
130	0.898989899	0.3007565503
131	0.8978675645	0.2997294358
132	0.8978675645	0.2991912867
133	0.8978675645	0.2986248497
134	0.8978675645	0.2982028559
135	0.8978675645	0.2972755508
136	0.898989899	0.2966835304
137	0.898989899	0.2962474358
138	0.8978675645	0.295749031
139	0.898989899	0.2954651135
140	0.898989899	0.2952433881
141	0.898989899	0.2949227905
142	0.898989899	0.2945078509
143	0.9001122334	0.2938730948
144	0.9001122334	0.2931043236
145	0.9012345679	0.2926192109
146	0.9012345679	0.2922222462
147	0.9023569024	0.2920238244
148	0.9012345679	0.2915969634
149	0.9012345679	0.2911963231
150	0.9012345679	0.2901822279
151	0.9023569024	0.289952346
152	0.9046015713	0.2893701002
153	0.9046015713	0.288991312
154	0.9057239057	0.2881536991
155	0.9057239057	0.2875976381
156	0.9057239057	0.287380989
157	0.9057239057	0.287075439
158	0.9046015713	0.2864368154
159	0.9057239057	0.2861674315
160	0.9046015713	0.2855165076
161	0.9046015713	0.2849107112
162	0.9057239057	0.2841814027
163	0.9068462402	0.2836420132
164	0.9079685746	0.2827045668
165	0.9090909091	0.2822716367
166	0.9090909091	0.2817933774
167	0.9079685746	0.2814790353
168	0.9090909091	0.2809505209
169	0.9102132435	0.2803892425
170	0.9090909091	0.2800557039
171	0.9079685746	0.2796429931
172	0.9079685746	0.2789339236
173	0.9079685746	0.2783965023
174	0.9068462402	0.2780449401
175	0.9079685746	0.2778299723
176	0.9090909091	0.2772828088
177	0.9102132435	0.2764989007
178	0.9102132435	0.2761593305
179	0.9102132435	0.2752343086
180	0.9102132435	0.2747476244
181	0.9102132435	0.2746098893
182	0.911335578	0.2741766004
183	0.9124579125	0.2730958238
184	0.9135802469	0.2727799927
185	0.9135802469	0.2723015616
186	0.9135802469	0.2717161569
187	0.9135802469	0.2710137739
188	0.9135802469	0.2703756467
189	0.9147025814	0.2696729066
190	0.9147025814	0.2694607091
191	0.9147025814	0.2692835164
192	0.9147025814	0.2687329236
193	0.9147025814	0.2677342549
194	0.9147025814	0.2672636385
195	0.9147025814	0.2662870697
196	0.9158249158	0.2655410138
197	0.9158249158	0.2650159024
198	0.9158249158	0.2645982656
199	0.9169472503	0.2643404326
200	0.9169472503	0.2640238606
201	0.9169472503	0.2637545901
202	0.9169472503	0.2635280303
203	0.9158249158	0.2633393169
204	0.9169472503	0.2625569709
205	0.9169472503	0.2622024551
206	0.9169472503	0.262005687
207	0.9158249158	0.2608612421
208	0.9147025814	0.2607357732
209	0.9158249158	0.2606342814
210	0.9147025814	0.2599897884
211	0.9169472503	0.2596850055
212	0.9169472503	0.2593388934
213	0.9169472503	0.2591330141
214	0.9180695847	0.2586149066
215	0.9191919192	0.2580782554
216	0.9214365881	0.2577063927
217	0.9214365881	0.2572762344
218	0.9203142536	0.2571547785
219	0.923681257	0.2570527458
220	0.923681257	0.2559989629
221	0.9248035915	0.25537761
222	0.9248035915	0.2549555124
223	0.923681257	0.2544405744
224	0.9248035915	0.2538997805
225	0.9248035915	0.2534817758
226	0.9248035915	0.2532750064
227	0.9248035915	0.2531933286
228	0.9248035915	0.2530898366
229	0.9248035915	0.2525217953
230	0.9259259259	0.2519430071
231	0.9259259259	0.2516875181
232	0.9248035915	0.2515568853
233	0.9248035915	0.2515488131
234	0.9259259259	0.2514813733
235	0.9259259259	0.2510049022
236	0.9259259259	0.2505248472
237	0.9259259259	0.2497356057
238	0.9270482604	0.248765078
239	0.9281705948	0.2484229455
240	0.9281705948	0.2481354331
241	0.9292929293	0.2477257936
242	0.9292929293	0.2477157775
243	0.9292929293	0.2476174766
244	0.9292929293	0.247521249
245	0.9292929293	0.2474194276
246	0.9292929293	0.2473508564
247	0.9292929293	0.247107802
248	0.9292929293	0.2467933941
249	0.9292929293	0.2467806103
250	0.9292929293	0.2462181429
251	0.9292929293	0.2455549989
252	0.9292929293	0.2454104829
253	0.9292929293	0.2453010719
254	0.9292929293	0.2450853069
255	0.9292929293	0.2449802228
256	0.9292929293	0.2446752392
257	0.9292929293	0.2446100014
258	0.9292929293	0.2440904756
259	0.9292929293	0.2436826879
260	0.9292929293	0.2435182335
261	0.9292929293	0.2434308739
262	0.9292929293	0.2432541593
263	0.9292929293	0.2429503845
264	0.9292929293	0.2428353372
265	0.9304152637	0.242678679
266	0.9304152637	0.2425220628
267	0.9304152637	0.242388842
268	0.9304152637	0.2422349725
269	0.9304152637	0.2421466498
270	0.9304152637	0.2420226582
271	0.9304152637	0.2419861225
272	0.9304152637	0.2418550555
273	0.9304152637	0.2417096498
274	0.9304152637	0.2411518229
275	0.9304152637	0.2408648947
276	0.9304152637	0.2408005713
277	0.9304152637	0.2406601847
278	0.9315375982	0.2403012488
279	0.9315375982	0.2402764636
280	0.9315375982	0.2401851739
281	0.9315375982	0.2398088586
282	0.9315375982	0.2396598325
283	0.9315375982	0.238771385
284	0.9315375982	0.2383414718
285	0.9315375982	0.2377763904
286	0.9315375982	0.2377637453
287	0.9315375982	0.2375411825
288	0.9315375982	0.2372421999
289	0.9315375982	0.2370912951
290	0.9315375982	0.2367808713
291	0.9315375982	0.236508688
292	0.9315375982	0.2364291092
293	0.9304152637	0.2355811083
294	0.9304152637	0.2351891863
295	0.9304152637	0.2350779681
296	0.9304152637	0.2347507653
297	0.9304152637	0.2340224988
298	0.9304152637	0.2337598457
299	0.9304152637	0.2337094199
300	0.9304152637	0.2334539777
301	0.9315375982	0.2332617721
302	0.9315375982	0.2331761486
303	0.9315375982	0.2326968939
304	0.9315375982	0.2325834176
305	0.9326599327	0.2318454595
306	0.9326599327	0.2318184412
307	0.9326599327	0.2312200204
308	0.9326599327	0.2309101073
309	0.9315375982	0.2307088217
310	0.9326599327	0.2304268209
311	0.9337822671	0.2300002742
312	0.9337822671	0.2298899668
313	0.9337822671	0.2296105552
314	0.9337822671	0.2294895969
315	0.9337822671	0.2293033027
316	0.9337822671	0.2287006405
317	0.9337822671	0.2282998572
318	0.9337822671	0.2282444089
319	0.9337822671	0.2280497198
320	0.9337822671	0.2278177868
321	0.9337822671	0.2273168194
322	0.9337822671	0.2271112812
323	0.9337822671	0.2270094149
324	0.9337822671	0.2268867388
325	0.9337822671	0.2268298303
326	0.9337822671	0.2266614573
327	0.9337822671	0.2261310257
328	0.9337822671	0.2260239756
329	0.9337822671	0.2259253517
330	0.9337822671	0.2257804558
331	0.9337822671	0.225688774
332	0.9337822671	0.2251517025
333	0.9337822671	0.224062541
334	0.9337822671	0.2240204787
335	0.9337822671	0.2235710672
336	0.9349046016	0.223239366
337	0.9349046016	0.222692224
338	0.9337822671	0.222472752
339	0.9337822671	0.2224407225
340	0.9337822671	0.2223927392
341	0.9337822671	0.2223492466
342	0.9349046016	0.2221342987
343	0.9349046016	0.2216505054
344	0.9349046016	0.2215391182
345	0.9349046016	0.2214112771
346	0.9349046016	0.2212994765
347	0.9349046016	0.2207787825
348	0.9349046016	0.2206843755
349	0.9349046016	0.220555345
350	0.9349046016	0.219688382
351	0.9349046016	0.2191619513
352	0.9349046016	0.2188747541
353	0.936026936	0.2183584764
354	0.936026936	0.2177238665
355	0.936026936	0.217575445
356	0.936026936	0.2173179436
357	0.936026936	0.2170354179
358	0.936026936	0.2169261558
359	0.936026936	0.2168060455
360	0.936026936	0.2166593646
361	0.936026936	0.2162732966
362	0.936026936	0.2162649722
363	0.936026936	0.2160778616
364	0.936026936	0.2158658527
365	0.9349046016	0.2145763007
366	0.936026936	0.2140672994
367	0.9371492705	0.2139417601
368	0.9371492705	0.2137948038
369	0.9371492705	0.2135095864
370	0.9371492705	0.2134991009
371	0.9371492705	0.2134892257
372	0.936026936	0.2128715764
373	0.9382716049	0.2123801504
374	0.9382716049	0.212260163
375	0.9382716049	0.2121540975
376	0.9382716049	0.2118633518
377	0.9382716049	0.2117437744
378	0.9371492705	0.2112315746
379	0.9371492705	0.210876821
380	0.9371492705	0.2108304763
381	0.9382716049	0.2105533501
382	0.9382716049	0.2098603198
383	0.9393939394	0.2093999779
384	0.9405162738	0.209276872
385	0.9405162738	0.2090788275
386	0.9393939394	0.2084577285
387	0.9393939394	0.2081565203
388	0.9393939394	0.2079931116
389	0.9393939394	0.2078878435
390	0.9382716049	0.2073413328
391	0.9382716049	0.2067303802
392	0.9405162738	0.2059607029
393	0.9405162738	0.2058361919
394	0.9405162738	0.2054787054
395	0.9405162738	0.2054087155
396	0.9405162738	0.2049492691
397	0.9405162738	0.2048629279
398	0.9405162738	0.2047909548
399	0.9405162738	0.2045476067
400	0.9416386083	0.2040384035
401	0.9416386083	0.2037528259
402	0.9416386083	0.2027646517
403	0.9416386083	0.2026969074
404	0.9438832772	0.2025081887
405	0.9416386083	0.2020428778
406	0.9416386083	0.2015735526
407	0.9416386083	0.201063757
408	0.9416386083	0.2010407755
409	0.9416386083	0.2005166379
410	0.9427609428	0.200412926
411	0.9427609428	0.199953506
412	0.9427609428	0.1996873813
413	0.9427609428	0.1994069034
414	0.9427609428	0.1991283606
415	0.9427609428	0.1990555035
416	0.9427609428	0.198685819
417	0.9427609428	0.1985601
418	0.9427609428	0.1982586474
419	0.9427609428	0.1980533068
420	0.9427609428	0.1979006798
